date_actual,CIT_Short,player
2014-11-25 00:00:00,-5058,Nrep
2014-12-02 00:00:00,-131433,Com
2014-12-02 00:00:00,-4907,Index
2014-12-02 00:00:00,-8536,Ncom
2014-12-02 00:00:00,-2844,Nrep
2014-12-09 00:00:00,-127870,Com
2014-12-09 00:00:00,-4918,Index
2014-12-09 00:00:00,-10466,Ncom
2014-12-09 00:00:00,-6417,Nrep
2014-12-16 00:00:00,-126351,Com
2014-12-16 00:00:00,-4661,Index
2014-12-16 00:00:00,-10551,Ncom
2014-12-16 00:00:00,-6966,Nrep
2014-12-23 00:00:00,-127261,Com
2014-12-23 00:00:00,-5116,Index
2014-12-23 00:00:00,-12693,Ncom
2014-12-23 00:00:00,-7468,Nrep
2014-12-30 00:00:00,-125627,Com
2014-12-30 00:00:00,-5606,Index
2014-12-30 00:00:00,-15978,Ncom
2014-12-30 00:00:00,-7865,Nrep
2015-01-06 00:00:00,-128007,Com
2015-01-06 00:00:00,-5469,Index
2015-01-06 00:00:00,-17550,Ncom
2015-01-06 00:00:00,-7641,Nrep
2015-01-13 00:00:00,-128312,Com
2015-01-13 00:00:00,-6988,Index
2015-01-13 00:00:00,-13041,Ncom
2015-01-13 00:00:00,-6960,Nrep
2015-01-20 00:00:00,-125672,Com
2015-01-20 00:00:00,-6957,Index
2015-01-20 00:00:00,-15580,Ncom
2015-01-20 00:00:00,-6641,Nrep
2015-01-27 00:00:00,-121603,Com
2015-01-27 00:00:00,-7277,Index
2015-01-27 00:00:00,-20214,Ncom
2015-01-27 00:00:00,-7061,Nrep
2015-02-03 00:00:00,-118196,Com
2015-02-03 00:00:00,-7408,Index
2015-02-03 00:00:00,-22012,Ncom
2015-02-03 00:00:00,-7722,Nrep
2015-02-10 00:00:00,-120292,Com
2015-02-10 00:00:00,-7715,Index
2015-02-10 00:00:00,-24648,Ncom
2015-02-10 00:00:00,-8544,Nrep
2015-02-17 00:00:00,-110061,Com
2015-02-17 00:00:00,-6951,Index
2015-02-17 00:00:00,-26179,Ncom
2015-02-17 00:00:00,-7998,Nrep
2015-02-24 00:00:00,-108742,Com
2015-02-24 00:00:00,-7310,Index
2015-02-24 00:00:00,-32041,Ncom
2015-02-24 00:00:00,-7303,Nrep
2015-03-03 00:00:00,-109956,Com
2015-03-03 00:00:00,-6854,Index
